n,tp_rate_pct,sl_rate_pct,time_rate_pct,win_rate_pct,avg_net_pct,expectancy_pct,median_net_pct,avg_gross_pct,avg_mae_pct,avg_mfe_pct,worst_mae_pct,best_mfe_pct,avg_hold_bars,avg_time_to_tp,avg_time_to_sl,sharpe_per_trade,combo,mode,tp,sl,scope,bucket
48865,29.6,68.9,1.5,29.91,-1.09,-1.09,-2.3,-0.79,-3.143,2.382,-60.0,90.07,1.37,1.42,1.27,-0.597,TP2%/SL2%,pct,0.02,0.02,Full,"[0.30, 0.35)"
103067,33.04,64.89,2.07,33.53,-0.941,-0.941,-2.3,-0.641,-2.86,2.35,-80.0,45.0,1.46,1.47,1.34,-0.502,TP2%/SL2%,pct,0.02,0.02,Full,"[0.35, 0.40)"
141982,36.39,61.28,2.33,36.92,-0.802,-0.802,-2.3,-0.502,-2.643,2.379,-82.96,59.07,1.51,1.5,1.39,-0.419,TP2%/SL2%,pct,0.02,0.02,Full,"[0.40, 0.45)"
257220,39.09,58.28,2.64,39.79,-0.688,-0.688,-2.3,-0.388,-2.497,2.381,-34.14,45.45,1.57,1.54,1.44,-0.355,TP2%/SL2%,pct,0.02,0.02,Full,"[0.45, 0.50)"
322349,41.69,55.27,3.04,42.59,-0.574,-0.574,-2.3,-0.274,-2.367,2.375,-41.38,42.86,1.64,1.6,1.49,-0.294,TP2%/SL2%,pct,0.02,0.02,Full,"[0.50, 0.55)"
355606,43.91,52.37,3.72,45.1,-0.471,-0.471,-2.3,-0.171,-2.266,2.41,-98.2,169.41,1.71,1.65,1.54,-0.24,TP2%/SL2%,pct,0.02,0.02,Full,"[0.55, 0.60)"
203838,44.94,50.75,4.3,46.33,-0.417,-0.417,-2.3,-0.117,-2.236,2.456,-98.98,169.41,1.74,1.66,1.54,-0.213,TP2%/SL2%,pct,0.02,0.02,Full,"[0.60, 0.65)"
66999,45.09,51.27,3.65,46.15,-0.424,-0.424,-2.3,-0.124,-2.436,2.855,-53.12,880.09,1.55,1.48,1.37,-0.216,TP2%/SL2%,pct,0.02,0.02,Full,"[0.65, 0.70)"
8054,46.24,49.32,4.44,46.77,-0.36,-0.36,-0.354,-0.06,-2.612,3.781,-27.13,30.43,1.42,1.35,1.17,-0.184,TP2%/SL2%,pct,0.02,0.02,Full,"[0.70, 0.75)"
796,52.14,34.42,13.44,52.76,0.067,0.067,1.7,0.367,-1.986,2.878,-19.6,12.2,2.3,2.12,1.53,0.036,TP2%/SL2%,pct,0.02,0.02,Full,"[0.75, 0.80)"
7708,31.11,66.55,2.34,31.54,-1.015,-1.015,-2.3,-0.715,-2.808,2.182,-25.36,22.71,1.49,1.46,1.38,-0.549,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.30, 0.35)"
15462,34.32,62.4,3.27,35.11,-0.869,-0.869,-2.3,-0.569,-2.578,2.179,-23.45,21.84,1.63,1.57,1.48,-0.46,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.35, 0.40)"
21296,36.6,59.95,3.45,37.54,-0.772,-0.772,-2.3,-0.472,-2.417,2.165,-25.73,25.26,1.68,1.58,1.56,-0.403,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.40, 0.45)"
38176,38.55,57.45,4.0,39.71,-0.683,-0.683,-2.3,-0.383,-2.334,2.162,-22.0,29.96,1.74,1.63,1.59,-0.354,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.45, 0.50)"
45619,40.19,55.4,4.42,41.56,-0.607,-0.607,-2.3,-0.307,-2.254,2.152,-24.38,22.75,1.8,1.69,1.63,-0.313,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.50, 0.55)"
50132,41.58,52.85,5.57,43.25,-0.525,-0.525,-2.3,-0.225,-2.17,2.131,-22.06,26.58,1.88,1.72,1.67,-0.271,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.55, 0.60)"
30057,41.99,51.6,6.4,43.96,-0.493,-0.493,-2.3,-0.193,-2.143,2.158,-24.28,28.64,1.93,1.75,1.69,-0.255,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.60, 0.65)"
10938,43.41,51.96,4.64,44.57,-0.471,-0.471,-2.3,-0.171,-2.254,2.459,-23.79,41.17,1.66,1.53,1.47,-0.241,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.65, 0.70)"
1209,43.26,45.99,10.75,43.42,-0.346,-0.346,-0.221,-0.046,-2.173,2.956,-19.86,20.82,1.61,1.25,1.17,-0.183,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.70, 0.75)"
67,25.37,20.9,53.73,25.37,-0.172,-0.172,-0.217,0.128,-0.99,1.402,-9.52,5.42,3.81,2.53,2.29,-0.127,TP2%/SL2%,pct,0.02,0.02,OOS,"[0.75, 0.80)"
48865,39.95,56.33,3.71,40.47,-1.219,-1.219,-3.3,-0.919,-3.403,2.588,-60.0,90.07,1.67,1.54,1.55,-0.503,TP2%/SL3%,pct,0.02,0.03,Full,"[0.30, 0.35)"
103067,43.39,51.87,4.74,44.14,-1.021,-1.021,-3.3,-0.721,-3.135,2.563,-80.0,45.0,1.79,1.6,1.65,-0.419,TP2%/SL3%,pct,0.02,0.03,Full,"[0.35, 0.40)"
141982,46.75,48.02,5.23,47.57,-0.842,-0.842,-1.355,-0.542,-2.923,2.604,-82.96,59.07,1.86,1.63,1.74,-0.345,TP2%/SL3%,pct,0.02,0.03,Full,"[0.40, 0.45)"
257220,49.27,44.93,5.8,50.3,-0.7,-0.7,0.228,-0.4,-2.774,2.609,-34.14,45.45,1.93,1.68,1.81,-0.287,TP2%/SL3%,pct,0.02,0.03,Full,"[0.45, 0.50)"
322349,51.58,41.84,6.58,52.93,-0.561,-0.561,1.7,-0.261,-2.637,2.605,-57.39,42.86,2.01,1.74,1.87,-0.232,TP2%/SL3%,pct,0.02,0.03,Full,"[0.50, 0.55)"
355606,53.47,38.93,7.6,55.18,-0.436,-0.436,1.7,-0.136,-2.517,2.631,-98.2,169.41,2.08,1.78,1.92,-0.182,TP2%/SL3%,pct,0.02,0.03,Full,"[0.55, 0.60)"
203838,54.42,37.28,8.3,56.38,-0.367,-0.367,1.7,-0.067,-2.467,2.664,-98.98,169.41,2.09,1.78,1.89,-0.155,TP2%/SL3%,pct,0.02,0.03,Full,"[0.60, 0.65)"
66999,55.22,38.56,6.22,56.69,-0.374,-0.374,1.7,-0.074,-2.615,3.03,-53.12,880.09,1.81,1.58,1.63,-0.156,TP2%/SL3%,pct,0.02,0.03,Full,"[0.65, 0.70)"
8054,56.88,37.97,5.15,57.49,-0.306,-0.306,1.7,-0.006,-2.706,3.916,-27.13,30.43,1.53,1.37,1.29,-0.128,TP2%/SL3%,pct,0.02,0.03,Full,"[0.70, 0.75)"
796,54.9,31.03,14.07,55.65,-0.127,-0.127,1.7,0.173,-2.051,2.94,-22.12,12.2,2.36,2.11,1.62,-0.057,TP2%/SL3%,pct,0.02,0.03,Full,"[0.75, 0.80)"
7708,41.1,52.97,5.93,41.79,-1.117,-1.117,-3.3,-0.817,-3.102,2.404,-25.36,22.71,1.88,1.61,1.73,-0.462,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.30, 0.35)"
15462,44.32,48.47,7.21,45.54,-0.918,-0.918,-1.874,-0.618,-2.899,2.4,-23.45,21.84,2.03,1.71,1.88,-0.379,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.35, 0.40)"
21296,46.22,45.73,8.06,47.64,-0.803,-0.803,-0.875,-0.503,-2.736,2.392,-25.73,25.26,2.11,1.73,1.99,-0.333,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.40, 0.45)"
38176,47.99,43.74,8.27,49.65,-0.701,-0.701,-0.169,-0.401,-2.639,2.39,-22.0,29.96,2.15,1.77,2.03,-0.291,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.45, 0.50)"
45619,49.55,41.45,8.99,51.52,-0.6,-0.6,0.832,-0.3,-2.556,2.385,-24.38,22.75,2.22,1.83,2.09,-0.251,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.50, 0.55)"
50132,50.52,38.97,10.51,52.9,-0.505,-0.505,1.7,-0.205,-2.447,2.347,-22.06,26.58,2.28,1.86,2.09,-0.213,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.55, 0.60)"
30057,50.97,37.25,11.77,53.71,-0.448,-0.448,1.7,-0.148,-2.4,2.365,-24.28,28.64,2.33,1.88,2.1,-0.191,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.60, 0.65)"
10938,53.27,38.54,8.19,54.99,-0.421,-0.421,1.7,-0.121,-2.477,2.663,-23.79,41.17,1.98,1.65,1.81,-0.177,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.65, 0.70)"
1209,53.18,34.74,12.08,53.52,-0.281,-0.281,1.7,0.019,-2.33,3.092,-19.86,20.82,1.77,1.29,1.36,-0.122,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.70, 0.75)"
67,28.36,16.42,55.22,28.36,-0.222,-0.222,-0.215,0.078,-0.997,1.443,-9.52,5.42,3.9,2.53,2.55,-0.135,TP2%/SL3%,pct,0.02,0.03,OOS,"[0.75, 0.80)"
48865,52.52,36.6,10.87,53.28,-1.27,-1.27,1.7,-0.97,-3.928,2.875,-60.0,90.07,2.22,1.71,2.14,-0.386,TP2%/SL5%,pct,0.02,0.05,Full,"[0.30, 0.35)"
103067,54.78,32.89,12.33,55.83,-1.054,-1.054,1.7,-0.754,-3.64,2.845,-80.0,45.0,2.33,1.76,2.28,-0.326,TP2%/SL5%,pct,0.02,0.05,Full,"[0.35, 0.40)"
141982,57.43,29.4,13.17,58.58,-0.837,-0.837,1.7,-0.537,-3.398,2.874,-82.96,59.07,2.39,1.79,2.39,-0.265,TP2%/SL5%,pct,0.02,0.05,Full,"[0.40, 0.45)"
257220,59.11,27.01,13.88,60.48,-0.686,-0.686,1.7,-0.386,-3.226,2.868,-58.04,165.51,2.44,1.83,2.47,-0.221,TP2%/SL5%,pct,0.02,0.05,Full,"[0.45, 0.50)"
322349,60.66,24.42,14.92,62.42,-0.523,-0.523,1.7,-0.223,-3.046,2.847,-57.39,42.86,2.5,1.88,2.52,-0.173,TP2%/SL5%,pct,0.02,0.05,Full,"[0.50, 0.55)"
355606,61.95,21.98,16.07,64.15,-0.375,-0.375,1.7,-0.075,-2.88,2.857,-98.2,169.41,2.54,1.91,2.53,-0.128,TP2%/SL5%,pct,0.02,0.05,Full,"[0.55, 0.60)"
